"ssb_game_id","ssb_game_name","date_created","date_modified"
1,N64,"2024-05-13 20:44:39","2024-05-13 20:44:39"
2,Melee,"2024-05-13 20:44:39","2024-05-13 20:44:39"
3,Brawl,"2024-05-13 20:44:39","2024-05-13 20:44:39"
4,SSB4,"2024-05-13 20:44:39","2024-05-13 20:44:39"
5,Ultimate,"2024-05-13 20:44:39","2024-05-13 20:44:39"
