"weekly_id","fight_number","lives_remain","date_created","date_modified","member_id","FIGHTER_ID","FIGHT_DATE"
53,18,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,23,"2024-05-08 00:00:00"
54,18,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,39,"2024-05-08 00:00:00"
55,19,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,14,"2024-05-08 00:00:00"
56,19,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,21,"2024-05-08 00:00:00"
57,19,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,42,"2024-05-08 00:00:00"
58,20,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,75,"2024-05-08 00:00:00"
59,20,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,40,"2024-05-08 00:00:00"
60,20,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,49,"2024-05-08 00:00:00"
61,21,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,70,"2024-05-08 00:00:00"
62,21,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,4,"2024-05-08 00:00:00"
63,21,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,30,"2024-05-08 00:00:00"
64,22,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,60,"2024-05-08 00:00:00"
65,22,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,43,"2024-05-08 00:00:00"
66,22,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,78,"2024-05-08 00:00:00"
67,23,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,48,"2024-05-08 00:00:00"
68,23,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,5,"2024-05-08 00:00:00"
69,23,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,44,"2024-05-08 00:00:00"
